,runtime_seconds,assigned_memory,page_cache_memory,avg_cpu,avg_memory,max_cpu,max_memory,req_cpu,req_memory,memory_overprovisioning_ratio,avg_cpu_utilization,peak_cpu_utilization,memory_utilization_avg,memory_utilization_peak,cpu_peak_to_avg_ratio,runtime_efficiency,page_cache_ratio
Group 0,0.6405904618994179,-0.13011188900088497,0.3741746951362445,0.0,-0.02665984811462139,0.0,0.009056552311328563,0.0,-0.09238311664335916,-0.08543629209301841,0.0,0.0,-0.6559008534185587,-0.6916477970939487,0.0,-0.294028065231365,-0.3922096715117414
Group 1,0.4331964494176544,-0.1035686900838682,-0.15700426551513927,0.0,-0.07927692614556259,0.0,-0.09974256727290615,0.0,-0.13988053900596992,0.11940083958092329,0.0,0.0,0.9994670376271034,1.0316602375415818,0.0,0.5094076182488657,0.4104642089115868
Group 2,-1.559880838077605,-0.10431647061601285,-0.37537045215555787,0.0,-0.30672752979342,0.0,-0.3157370928642538,0.0,0.014800381142643333,-0.0823261874897392,0.0,0.0,-0.7674182938395118,-0.7632006269161499,0.0,-0.36584243142103207,-0.07592492382994898
Group 3,0.6140579978442036,5.835701187999771,1.6205885139392742,0.0,6.211586994845554,0.0,6.11983551953723,0.0,4.318483615776025,0.1611158469949442,0.0,0.0,1.3460245461497535,1.2611889931103561,0.0,-0.36697365234839296,-0.47219860057844026
