PC1,PC2,macro_cluster
-0.24654526832653692,-0.3849276740412218,0
-0.058801254077843215,1.5465194101712838,1
-1.381840974138355,-1.6195778719867835,2
0.2603346004215606,-1.4819819316369627,0
-0.2759176140038659,-1.343457972520551,0
-0.5433335797869667,0.036260269941594384,0
-0.489686008135279,-0.731997344068201,0
0.02822606658619756,-1.491888198200339,0
-0.9839299710259738,-1.6601516067422784,2
0.29767797022443,-1.5574799700773214,0
-0.4804547992627602,-0.18046089675688073,0
-0.489686008135279,-0.731997344068201,0
-1.2118243533575157,-1.6457376733374403,2
0.5438425144382563,1.6930312925522606,1
-0.489686008135279,-0.731997344068201,0
-1.2392046434892026,-1.4654896027502196,2
0.2228646654622786,1.7651880154278567,1
-0.9839299710259738,-1.6601516067422784,2
0.258738494517643,0.2678453084057352,0
0.5229176698472903,-1.3959565454955565,0
-0.6728454562930264,-0.5225343610290105,0
-0.2876176033574664,0.39890733721892346,0
-0.5338516892387457,1.0670418968889979,1
-0.27298261264530554,2.0274166417514032,1
1.6916961286038195,1.4486467919313488,1
-0.6804155348600472,-0.5341491491009411,0
-1.235846010279358,-1.7326392356510691,2
-0.7523048986720398,-1.1230345927995644,0
0.20392208856491376,-1.2527510194127414,0
-0.14267612324368723,2.3270900310100022,1
-1.0595085008166372,-0.46597308700626294,2
-0.5743272803992733,0.1815979798689055,0
-0.6481324302327245,-0.008607291567810269,0
-0.6538272727222276,-1.1308739781913215,0
1.800977810611068,0.1380562992540336,1
-0.6160508305124143,-1.1205178799135218,0
-0.37516846065338055,1.8088551732632911,1
-0.16195677407470016,1.6748125480058458,1
-0.9839299710259738,-1.6601516067422784,2
-1.0489199818635264,-0.9707907316984242,0
-0.22032097596853664,1.021796015160417,1
-0.33308096191325315,0.9160294137890448,1
0.14219472026569235,-1.7606039343283535,0
-0.4001984864665582,2.995966454344325,1
-0.2917969090244603,2.4870954622002825,1
-0.0862182387046818,2.155956043300988,1
1.2911113536649095,0.02144514221754681,0
-1.2532624876163163,-1.6506356220526588,2
-0.6752354864436386,2.9476836459776474,1
-0.014148666309847097,-1.4992443454194189,0
0.03313285973026338,1.1978990485033583,1
0.27131148311907005,1.1038944498193173,1
-1.244609642500477,-1.2935953201690213,2
-1.3858665741175833,-1.6162026777810146,2
-1.2515728576921514,-1.6098036089757748,2
0.9871217892031009,-0.060684579959663164,0
0.045741594836572724,-1.5892630909970982,0
-0.4001984864665582,2.995966454344325,1
0.5672629628102623,-1.0447057214847943,0
0.5898354763901971,-1.5697358181305672,0
-0.3521063090263448,0.08123526587307849,0
-0.20356309813557133,-0.3678671445525947,0
-0.22032097596853664,1.021796015160417,1
-0.9963731574569384,-0.9883871127057972,0
0.8781470118365647,2.1800660827806655,1
0.16850189980166935,1.8907769178947733,1
-0.4331469506456135,-0.09835211414598691,0
-1.0509297513328044,-0.9661321520138164,0
-1.1146592309295005,-1.6451012786973744,2
4.12004990544678,-3.4283943559553025,2
-1.0489199818635264,-0.9707907316984242,0
-0.865088177116941,-1.0665899822827627,0
-0.9839299710259738,-1.6601516067422784,2
-0.9572262161926294,-0.664115154381593,2
-0.1397614598281613,2.3166117275190485,1
0.09284851716535178,1.3206446907588751,1
0.4599756060050507,-1.5782380516700172,0
-0.4807949897939084,2.908277030725001,1
-0.9839299710259738,-1.6601516067422784,2
-0.39953370870043536,2.9973549845717216,1
-1.1441496297543159,-1.642741833018286,2
0.0393656947572725,0.644348357202729,1
-0.6511545547351402,-1.0600760541521788,0
-1.1278875314898793,-1.0529150424916336,2
0.09284851716535178,1.3206446907588751,1
0.0057255330934426266,1.8692623816151666,1
0.04550186381472246,-1.4359651254355161,0
-0.21821564874196953,-1.3436401676530236,0
-0.5960673409666638,-1.2506332106810176,0
6.43255992967436,-1.2073539484051241,3
0.9583081153696449,0.912632599744971,1
-0.5739387111661738,0.19863057900291778,2
-0.19920267846045756,2.698084247212631,1
-0.012932378079165523,1.9844783029350672,1
