assigned_memory,req_memory,avg_memory,max_memory,page_cache_memory,runtime_seconds,macro_cluster
0.009765625,0.009765625,0.0016994476318359,0.0017051696777343,0.0004358291625976,0.3,0
0.002960205078125,0.002960205078125,0.0019435882568359,0.0020370483398437,1.9073486328125e-06,0.3,1
0.0,0.0013027191162109,9.5367431640625e-07,9.5367431640625e-07,1.1444091796875e-05,0.001,2
0.0,0.0718994140625,0.0005397796630859,0.0005464553833007,0.000101089477539,0.3,0
0.0,0.0013027191162109,0.0053253173828125,0.0087890625,0.0009937286376953,0.3,0
0.00390625,0.00390625,0.0009088516235351,0.0009117126464843,0.0001716613769531,0.3,0
0.011016845703125,0.011016845703125,0.0008964538574218,0.000899314880371,7.62939453125e-06,0.3,0
0.0,0.0013027191162109,0.009552001953125,0.0099639892578125,0.0013999938964843,0.3,0
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.0,0.0013027191162109,0.0089874267578125,0.019073486328125,0.0014476776123046,0.3,0
0.0063018798828125,0.004302978515625,0.0012149810791015,0.0012435913085937,0.0002164840698242,0.3,0
0.011016845703125,0.011016845703125,0.0008964538574218,0.000899314880371,7.62939453125e-06,0.3,0
0.0,0.0013027191162109,0.0005912780761718,0.0005922317504882,0.0002975463867187,0.031,2
0.00726318359375,0.0072555541992187,0.005401611328125,0.0054092407226562,0.0004854202270507,0.3,1
0.011016845703125,0.011016845703125,0.0008964538574218,0.000899314880371,7.62939453125e-06,0.3,0
0.00262451171875,0.00262451171875,9.34600830078125e-05,9.34600830078125e-05,3.814697265625e-06,0.003,2
0.00390625,0.00390625,0.00164794921875,0.00262451171875,0.0014572143554687,0.3,1
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.0177001953125,0.0065078735351562,0.0059890747070312,0.0069808959960937,9.5367431640625e-07,0.3,0
0.0,0.0013027191162109,0.0225830078125,0.02325439453125,0.000579833984375,0.3,0
0.006683349609375,0.0036125183105468,0.0006961822509765,0.0006980895996093,1.1444091796875e-05,0.3,0
0.0052108764648437,0.0052108764648437,0.0018596649169921,0.0018882751464843,0.0001649856567382,0.3,0
0.0018234252929687,0.0018234252929687,0.0007400512695312,0.0008964538574218,0.0004997253417968,0.133,1
0.0015621185302734,0.0015621185302734,0.0010833740234375,0.0011844635009765,0.000472068786621,0.089,1
0.019927978515625,0.020111083984375,0.015777587890625,0.01580810546875,0.0004310607910156,0.3,1
0.006683349609375,0.0036125183105468,0.0006771087646484,0.0006790161132812,9.5367431640625e-07,0.3,0
0.0,0.0013027191162109,9.5367431640625e-07,9.5367431640625e-07,0.0004167556762695,0.004,2
0.0,0.0069961547851562,0.0012264251708984,0.0012283325195312,0.000340461730957,0.3,0
0.0,0.0054550170898437,0.01873779296875,0.01898193359375,0.000152587890625,0.3,0
0.0016555786132812,0.0016555786132812,0.0014686584472656,0.0014686584472656,0.0005016326904296,0.003,1
0.0002717971801757,0.0003061294555664,7.62939453125e-05,7.62939453125e-05,9.5367431640625e-06,0.002,2
0.0032539367675781,0.0013999938964843,0.0008821487426757,0.000885009765625,3.814697265625e-06,0.3,0
0.0032424926757812,0.0010414123535156,0.0006723403930664,0.0006742477416992,7.62939453125e-06,0.3,0
0.0,0.0025215148925781,0.0040664672851562,0.0040740966796875,0.0003623962402343,0.3,0
0.03460693359375,0.03460693359375,0.0179443359375,0.01800537109375,9.5367431640625e-07,0.206,1
0.0,0.0064620971679687,0.0043411254882812,0.0043487548828125,0.0002269744873046,0.3,0
0.000889778137207,0.000889778137207,0.0005083084106445,0.0005083084106445,8.392333984375e-05,0.3,1
